observation_date,FDHBFRBN
1970-01-01,55.800
1970-04-01,57.700
1970-07-01,60.000
1970-10-01,62.100
1971-01-01,64.200
1971-04-01,65.500
1971-07-01,67.600
1971-10-01,70.200
1972-01-01,69.900
1972-04-01,71.400
1972-07-01,69.700
1972-10-01,69.900
1973-01-01,74.300
1973-04-01,75.000
1973-07-01,76.200
1973-10-01,78.500
1974-01-01,79.500
1974-04-01,80.500
1974-07-01,81.000
1974-10-01,80.500
1975-01-01,81.400
1975-04-01,84.700
1975-07-01,87.000
1975-10-01,87.900
1976-01-01,89.800
1976-04-01,94.400
1976-07-01,96.400
1976-10-01,97.000
1977-01-01,96.000
1977-04-01,102.200
1977-07-01,104.700
1977-10-01,102.800
1978-01-01,101.600
1978-04-01,110.100
1978-07-01,115.300
1978-10-01,109.600
1979-01-01,110.900
1979-04-01,109.700
1979-07-01,115.500
1979-10-01,117.500
1980-01-01,116.700
1980-04-01,124.500
1980-07-01,120.700
1980-10-01,121.300
1981-01-01,119.000
1981-04-01,120.000
1981-07-01,124.300
1981-10-01,131.000
1982-01-01,126.600
1982-04-01,127.000
1982-07-01,134.400
1982-10-01,139.300
1983-01-01,136.700
1983-04-01,141.700
1983-07-01,155.400
1983-10-01,151.900
1984-01-01,150.800
1984-04-01,152.900
1984-07-01,155.000
1984-10-01,160.900
1985-01-01,161.000
1985-04-01,169.100
1985-07-01,169.700
1985-10-01,181.300
1986-01-01,184.800
1986-04-01,183.900
1986-07-01,190.800
1986-10-01,211.300
1987-01-01,196.400
1987-04-01,212.300
1987-07-01,211.900
1987-10-01,222.600
1988-01-01,217.500
1988-04-01,227.600
1988-07-01,229.200
1988-10-01,238.400
1989-01-01,228.600
1989-04-01,231.800
1989-07-01,221.100
1989-10-01,226.800
1990-01-01,217.900
1990-04-01,231.400
1990-07-01,234.400
1990-10-01,235.100
1991-01-01,241.000
1991-04-01,247.500
1991-07-01,258.600
1991-10-01,266.500
1992-01-01,265.800
1992-04-01,276.900
1992-07-01,279.700
1992-10-01,295.000
1993-01-01,298.500
1993-04-01,313.100
1993-07-01,319.400
1993-10-01,332.000
1994-01-01,337.300
1994-04-01,347.600
1994-07-01,353.000
1994-10-01,364.500
1995-01-01,363.700
1995-04-01,372.600
1995-07-01,367.700
1995-10-01,378.200
1996-01-01,377.100
1996-04-01,383.900
1996-07-01,383.900
1996-10-01,390.900
1997-01-01,395.100
1997-04-01,410.900
1997-07-01,411.800
1997-10-01,430.700
1998-01-01,433.200
1998-04-01,439.800
1998-07-01,446.000
1998-10-01,452.100
1999-01-01,465.700
1999-04-01,484.900
1999-07-01,489.000
1999-10-01,478.000
2000-01-01,501.700
2000-04-01,504.900
2000-07-01,511.400
2000-10-01,511.700
2001-01-01,523.900
2001-04-01,535.100
2001-07-01,534.100
2001-10-01,551.700
2002-01-01,575.400
2002-04-01,590.700
2002-07-01,604.200
2002-10-01,629.400
2003-01-01,641.500
2003-04-01,652.100
2003-07-01,656.100
2003-10-01,666.700
2004-01-01,674.100
2004-04-01,687.400
2004-07-01,700.300
2004-10-01,717.800
2005-01-01,717.300
2005-04-01,724.700
2005-07-01,736.400
2005-10-01,744.200
2006-01-01,758.500
2006-04-01,766.400
2006-07-01,768.900
2006-10-01,778.900
2007-01-01,780.900
2007-04-01,790.500
2007-07-01,779.600
2007-10-01,740.600
2008-01-01,591.200
2008-04-01,478.800
2008-07-01,476.600
2008-10-01,475.900
2009-01-01,492.300
2009-04-01,656.500
2009-07-01,769.200
2009-10-01,776.600
2010-01-01,776.700
2010-04-01,777.000
2010-07-01,811.700
2010-10-01,1021.500
2011-01-01,1340.400
2011-04-01,1619.500
2011-07-01,1664.700
2011-10-01,1663.400
2012-01-01,1661.100
2012-04-01,1659.900
2012-07-01,1645.300
2012-10-01,1666.100
2013-01-01,1796.000
2013-04-01,1936.600
2013-07-01,2072.300
2013-10-01,2208.800
2014-01-01,2614.600
2014-04-01,2705.900
2014-07-01,2767.300
2014-10-01,2793.400
2015-01-01,2797.500
2015-04-01,2798.500
2015-07-01,2802.100
2015-10-01,2810.100
2016-01-01,2815.300
2016-04-01,2819.100
2016-07-01,2830.100
2016-10-01,2843.700
2017-01-01,2859.131
2017-04-01,2864.091
2017-07-01,2867.555
2017-10-01,2858.136
2018-01-01,2828.463
2018-04-01,2772.949
2018-07-01,2697.860
2018-10-01,2594.652
2019-01-01,2536.673
2019-04-01,2452.784
2019-07-01,2436.438
2019-10-01,2637.320
2020-01-01,3559.553
2020-04-01,4615.353
2020-07-01,4872.973
2020-10-01,5127.835
2021-01-01,5401.362
2021-04-01,5644.351
2021-07-01,5911.599
2021-10-01,6141.499
2022-01-01,6254.966
2022-04-01,6216.801
2022-07-01,6097.085
2022-10-01,5944.675
2023-01-01,5713.249
2023-04-01,5522.478
2023-07-01,5352.361
2023-10-01,5238.936
2024-01-01,4991.260
2024-04-01,4813.840
2024-07-01,4713.975
